iter	Passed	Remaining
0	140	139946
1	142	71068
2	144	48078
3	146	36600
4	149	29699
5	151	25105
6	153	21810
7	156	19372
8	158	17474
9	160	15934
10	163	14682
11	165	13639
12	168	12756
13	170	12022
14	173	11366
15	174	10744
16	176	10205
17	178	9710
18	179	9277
19	181	8874
20	182	8523
21	186	8270
22	187	7984
23	189	7703
24	191	7456
25	192	7219
26	194	7000
27	195	6793
28	197	6604
29	199	6440
30	200	6271
31	201	6106
32	203	5952
33	204	5807
34	205	5670
35	207	5543
36	208	5421
37	209	5304
38	210	5194
39	212	5090
40	213	5005
41	215	4914
42	216	4821
43	217	4736
44	219	4651
45	220	4572
46	221	4496
47	223	4424
48	224	4352
49	225	4284
50	226	4217
51	228	4158
52	229	4100
53	230	4046
54	232	3990
55	233	3936
56	234	3886
57	236	3841
58	237	3793
59	239	3746
60	240	3699
61	241	3654
62	243	3614
63	244	3572
64	245	3532
65	246	3494
66	248	3455
67	248	3410
68	250	3373
69	251	3339
70	252	3304
71	253	3270
72	254	3237
73	256	3205
74	257	3174
75	258	3143
76	259	3115
77	261	3085
78	262	3057
79	263	3029
80	264	3002
81	265	2975
82	267	2950
83	268	2925
84	269	2896
85	270	2872
86	271	2844
87	272	2821
88	273	2802
89	274	2780
90	276	2758
91	277	2737
92	278	2716
93	279	2696
94	280	2676
95	282	2657
96	283	2640
97	284	2621
98	285	2602
99	287	2584
100	288	2567
101	289	2545
102	290	2528
103	291	2511
104	292	2495
105	293	2479
106	295	2463
107	296	2447
108	297	2432
109	298	2417
110	299	2402
111	301	2390
112	302	2377
113	304	2363
114	305	2349
115	306	2334
116	307	2321
117	308	2308
118	309	2293
119	311	2281
120	312	2268
121	313	2256
122	314	2240
123	315	2228
124	317	2219
125	319	2215
126	322	2214
127	324	2208
128	326	2204
129	328	2200
130	330	2192
131	331	2182
132	333	2172
133	334	2161
134	335	2150
135	336	2140
136	338	2130
137	339	2121
138	340	2111
139	342	2101
140	343	2091
141	344	2082
142	345	2072
143	347	2062
144	348	2053
145	349	2044
146	350	2035
147	352	2026
148	353	2018
149	354	2009
150	355	2001
151	357	1992
152	358	1984
153	359	1975
154	360	1967
155	362	1959
156	363	1951
157	364	1943
158	365	1935
159	367	1927
160	368	1920
161	369	1912
162	371	1905
163	372	1898
164	373	1891
165	374	1883
166	376	1875
167	377	1868
168	378	1861
169	379	1853
170	380	1846
171	382	1840
172	383	1833
173	384	1826
174	386	1819
175	387	1812
176	388	1806
177	389	1800
178	391	1793
179	392	1786
180	392	1777
181	394	1771
182	395	1765
183	396	1760
184	398	1754
185	399	1748
186	400	1742
187	402	1736
188	403	1730
189	404	1724
190	405	1718
191	407	1712
192	408	1707
193	409	1701
194	410	1695
195	412	1690
196	413	1684
197	414	1678
198	415	1673
199	416	1667
200	418	1662
201	419	1657
202	420	1651
203	421	1646
204	423	1640
205	424	1635
206	425	1630
207	426	1624
208	427	1619
209	429	1614
210	430	1609
211	431	1604
212	432	1599
213	434	1594
214	435	1589
215	436	1584
216	437	1579
217	439	1574
218	440	1570
219	441	1565
220	442	1560
221	444	1556
222	445	1551
223	446	1546
224	447	1542
225	448	1537
226	450	1533
227	451	1528
228	452	1523
229	453	1519
230	455	1514
231	456	1510
232	457	1506
233	459	1503
234	461	1500
235	462	1496
236	463	1492
237	464	1488
238	465	1483
239	467	1479
240	468	1474
241	469	1470
242	470	1466
243	474	1469
