iter	Passed	Remaining
0	191	191618
1	193	96680
2	201	66994
3	203	50674
4	205	40836
5	206	34219
6	208	29509
7	212	26382
8	217	23966
9	219	21741
10	221	19880
11	222	18320
12	232	17674
13	234	16534
14	236	15510
15	237	14607
16	243	14061
17	246	13450
18	248	12847
19	250	12274
20	251	11743
21	256	11388
22	257	10952
23	258	10531
24	260	10144
25	261	9805
26	262	9473
27	263	9163
28	265	8875
29	266	8607
30	268	8397
31	272	8232
32	275	8069
33	277	7871
34	278	7683
35	280	7499
36	287	7483
37	290	7350
38	291	7194
39	293	7041
40	294	6891
41	301	6869
42	305	6788
43	306	6661
44	308	6538
45	309	6417
46	311	6308
47	315	6260
48	317	6160
49	318	6059
50	320	5959
51	327	5966
52	330	5906
53	332	5820
54	333	5735
55	335	5649
56	341	5643
57	344	5594
58	346	5526
59	348	5454
60	349	5383
61	350	5309
62	359	5352
63	362	5298
64	363	5235
65	365	5173
66	366	5109
67	375	5145
68	378	5102
69	379	5046
70	381	4989
71	382	4931
72	393	4995
73	395	4950
74	397	4903
75	409	4979
76	412	4942
77	414	4898
78	426	4968
79	428	4932
80	436	4957
81	442	4956
82	443	4903
83	446	4867
84	454	4895
85	456	4855
86	458	4809
87	459	4763
88	461	4718
89	467	4729
90	470	4695
91	471	4652
92	472	4610
93	474	4573
94	475	4531
95	476	4489
96	479	4460
97	481	4427
98	484	4407
99	485	4369
100	486	4331
101	487	4293
102	488	4256
103	489	4220
104	490	4185
105	492	4150
106	495	4136
107	497	4112
108	499	4085
109	501	4057
110	502	4028
111	504	3998
112	505	3969
113	510	3966
114	514	3959
115	516	3933
116	517	3903
117	518	3876
118	520	3850
119	521	3822
120	522	3794
121	523	3765
122	526	3752
123	528	3733
124	529	3709
125	531	3683
126	532	3657
127	533	3633
128	534	3608
129	535	3584
130	536	3560
131	537	3537
132	539	3513
133	542	3507
134	545	3493
135	547	3476
136	548	3455
137	549	3435
138	551	3415
139	553	3397
140	555	3385
141	557	3367
142	559	3352
143	560	3332
144	561	3312
145	562	3292
146	564	3273
147	565	3253
148	566	3233
149	567	3214
150	568	3195
151	569	3177
152	574	3181
153	576	3166
154	577	3148
155	578	3130
156	579	3112
157	580	3094
158	581	3077
159	583	3060
160	583	3042
161	584	3025
162	587	3017
163	590	3008
164	591	2993
165	592	2977
166	593	2961
167	594	2945
168	595	2930
169	597	2915
170	598	2899
171	599	2885
172	600	2870
173	603	2863
174	605	2853
175	606	2838
176	607	2824
177	608	2810
178	609	2796
179	610	2782
180	611	2768
181	612	2754
182	613	2740
183	615	2727
184	616	2716
185	619	2711
186	621	2703
187	623	2691
188	624	2679
189	625	2668
190	627	2657
191	628	2645
192	629	2632
193	630	2620
194	633	2614
195	635	2606
196	636	2594
197	637	2583
198	638	2571
199	640	2560
200	641	2549
201	642	2538
202	643	2526
203	644	2515
204	645	2504
205	648	2497
206	650	2491
207	652	2484
208	653	2475
209	655	2465
210	656	2456
211	659	2450
212	660	2440
213	661	2429
214	665	2429
215	666	2419
216	667	2409
217	668	2398
218	669	2388
219	670	2378
220	671	2368
221	673	2358
222	674	2348
223	675	2339
224	676	2331
225	680	2331
226	682	2323
227	683	2314
228	684	2305
229	685	2295
230	686	2286
231	688	2277
232	689	2268
233	690	2259
234	691	2250
235	692	2242
236	695	2239
237	697	2231
238	698	2222
239	699	2214
240	700	2206
241	701	2197
242	702	2189
243	703	2180
244	705	2172
245	706	2165
246	707	2157
247	710	2155
248	712	2149
249	713	2141
250	714	2133
251	715	2125
252	717	2117
253	718	2110
254	719	2102
255	720	2094
256	721	2087
257	722	2079
258	725	2076
259	727	2070
260	728	2063
261	729	2055
262	731	2048
263	732	2042
264	733	2034
265	734	2027
266	735	2019
267	736	2012
268	738	2005
269	741	2005
270	743	1999
271	744	1992
272	745	1985
273	746	1978
274	747	1971
275	748	1964
276	750	1958
277	751	1952
278	753	1947
279	759	1953
280	761	1947
281	763	1942
282	764	1937
283	765	1930
284	767	1926
285	769	1921
286	771	1917
287	775	1917
288	777	1911
289	778	1906
290	780	1902
291	783	1898
292	784	1892
293	789	1896
294	791	1892
295	794	1888
296	795	1883
297	796	1877
298	798	1872
299	804	1877
300	806	1873
301	808	1868
302	810	1864
303	816	1868
304	838	1910
305	851	1931
306	855	1930
307	857	1925
308	858	1920
309	867	1930
310	869	1926
311	871	1920
312	872	1914
313	874	1909
314	883	1920
315	885	1916
316	887	1912
317	889	1907
318	894	1910
319	898	1908
320	901	1906
321	903	1901
322	904	1896
323	911	1901
324	914	1900
325	916	1895
326	918	1890
327	920	1884
328	927	1891
329	930	1888
330	932	1883
331	933	1877
332	934	1871
333	941	1877
334	944	1875
335	946	1870
336	948	1865
337	949	1860
338	951	1855
339	955	1854
340	957	1850
341	958	1844
342	960	1839
343	961	1833
344	962	1827
345	964	1822
346	967	1820
347	968	1815
348	971	1811
349	974	1809
350	976	1805
351	978	1800
352	980	1796
353	985	1799
354	987	1794
355	989	1789
356	991	1785
357	994	1782
358	998	1782
359	999	1777
360	1001	1772
361	1002	1767
362	1004	1762
363	1005	1756
364	1006	1750
365	1007	1745
366	1011	1744
367	1015	1743
368	1017	1739
369	1018	1734
370	1020	1729
371	1021	1725
372	1023	1720
373	1030	1724
374	1032	1720
375	1033	1715
376	1035	1710
377	1036	1705
378	1038	1701
379	1042	1701
380	1047	1701
381	1049	1698
382	1051	1694
383	1054	1691
384	1059	1692
385	1061	1689
386	1063	1683
387	1064	1679
388	1066	1674
389	1067	1669
390	1068	1664
391	1069	1658
392	1072	1656
393	1074	1651
394	1076	1648
395	1077	1643
396	1078	1638
397	1080	1633
398	1081	1628
399	1082	1623
400	1083	1618
401	1084	1613
402	1086	1609
403	1088	1605
404	1090	1602
405	1091	1597
406	1093	1592
407	1094	1587
408	1095	1582
409	1096	1578
410	1097	1573
411	1099	1568
412	1100	1563
413	1103	1561
414	1105	1558
415	1106	1554
416	1108	1549
417	1109	1545
418	1110	1540
419	1112	1535
420	1113	1530
421	1114	1526
422	1115	1521
423	1119	1520
424	1121	1517
425	1122	1512
426	1123	1508
427	1124	1503
428	1126	1498
429	1127	1494
430	1128	1490
431	1129	1485
432	1131	1481
433	1133	1477
434	1136	1476
435	1137	1471
436	1138	1467
437	1140	1463
438	1141	1458
439	1142	1454
440	1143	1449
441	1144	1445
442	1146	1441
443	1151	1441
444	1153	1438
445	1155	1435
446	1156	1431
447	1158	1427
448	1159	1423
449	1161	1419
450	1163	1416
451	1167	1415
452	1168	1411
453	1169	1406
454	1171	1402
455	1172	1398
456	1173	1394
457	1174	1390
458	1176	1386
459	1177	1381
460	1179	1378
461	1181	1375
462	1183	1372
463	1184	1368
464	1185	1364
465	1187	1360
466	1188	1356
467	1189	1352
468	1190	1348
469	1192	1344
470	1193	1340
471	1195	1337
472	1198	1335
473	1199	1331
474	1200	1326
475	1201	1322
476	1203	1319
477	1204	1315
478	1205	1311
479	1206	1307
480	1207	1303
481	1210	1300
482	1212	1297
483	1213	1294
484	1215	1290
485	1216	1286
486	1217	1282
487	1218	1278
488	1220	1274
489	1221	1271
490	1222	1267
491	1225	1265
492	1230	1265
493	1232	1262
494	1234	1259
495	1236	1256
496	1238	1253
497	1244	1254
498	1248	1253
499	1250	1250
500	1252	1247
501	1254	1244
502	1258	1243
503	1259	1239
504	1261	1236
505	1262	1232
506	1263	1228
507	1264	1224
508	1266	1221
509	1267	1217
510	1268	1213
511	1270	1210
512	1274	1209
513	1275	1205
514	1276	1202
515	1277	1198
516	1279	1195
517	1280	1191
518	1281	1187
519	1282	1183
520	1283	1180
521	1286	1177
522	1287	1174
523	1289	1171
524	1291	1168
525	1292	1164
526	1293	1160
527	1294	1157
528	1295	1153
529	1297	1150
530	1298	1146
531	1300	1143
532	1302	1141
533	1304	1138
534	1305	1134
535	1306	1131
536	1308	1127
537	1309	1124
538	1310	1120
539	1311	1117
540	1312	1113
541	1313	1110
542	1317	1108
543	1319	1106
544	1320	1102
545	1322	1099
546	1323	1096
547	1324	1092
548	1325	1089
549	1327	1085
550	1328	1082
551	1329	1079
552	1332	1076
553	1334	1074
554	1336	1071
555	1337	1068
556	1338	1064
557	1340	1061
558	1341	1058
559	1342	1054
560	1343	1051
561	1344	1048
562	1348	1047
563	1351	1044
564	1353	1042
565	1355	1039
566	1357	1036
567	1358	1033
568	1360	1030
569	1369	1032
570	1370	1029
571	1372	1026
572	1374	1024
573	1375	1020
574	1377	1018
575	1382	1017
576	1384	1014
577	1386	1011
578	1387	1008
579	1388	1005
580	1389	1002
581	1390	998
582	1394	997
583	1396	994
584	1398	991
585	1399	988
586	1400	985
587	1401	981
588	1402	978
589	1403	975
590	1405	972
591	1406	969
592	1409	967
593	1412	965
594	1413	962
595	1415	959
596	1416	956
597	1417	953
598	1418	949
599	1420	946
600	1421	943
601	1422	940
602	1425	938
603	1427	936
604	1429	933
605	1430	930
606	1431	926
607	1432	923
608	1433	920
609	1435	917
610	1436	914
611	1437	911
612	1440	909
613	1443	907
614	1444	904
615	1445	901
616	1446	898
617	1448	895
618	1449	892
619	1450	889
620	1451	886
621	1453	883
622	1456	881
623	1458	878
624	1460	876
625	1462	873
626	1463	870
627	1465	867
628	1466	864
629	1468	862
630	1471	860
631	1474	858
632	1475	855
633	1476	852
634	1477	849
635	1479	846
636	1480	843
637	1481	840
638	1483	837
639	1484	834
640	1487	833
641	1489	830
642	1491	827
643	1492	825
644	1493	822
645	1494	819
646	1496	816
647	1497	813
648	1498	810
649	1499	807
650	1502	805
651	1504	803
652	1506	800
653	1507	797
654	1508	794
655	1509	791
656	1510	788
657	1512	786
658	1513	783
659	1514	780
660	1517	778
661	1519	775
662	1521	773
663	1522	770
664	1523	767
665	1525	764
666	1526	762
667	1527	759
668	1528	756
669	1529	753
670	1533	751
671	1535	749
672	1536	746
673	1538	743
674	1539	741
675	1540	738
676	1541	735
677	1542	732
678	1544	729
679	1545	727
680	1548	725
681	1551	723
682	1552	720
683	1553	717
684	1554	715
685	1556	712
686	1557	709
687	1558	706
688	1559	703
689	1560	701
690	1564	699
691	1567	697
692	1569	695
693	1571	692
694	1572	690
695	1574	687
696	1576	685
697	1578	683
698	1581	681
699	1582	678
700	1584	675
701	1585	672
702	1586	670
703	1587	667
704	1588	664
705	1589	662
706	1591	659
707	1593	657
708	1596	655
709	1597	652
710	1599	650
711	1600	647
712	1601	644
713	1602	641
714	1603	639
715	1605	636
716	1606	634
717	1609	631
718	1611	629
719	1612	627
720	1613	624
721	1615	621
722	1616	619
723	1617	616
724	1618	613
725	1619	611
726	1620	608
727	1622	606
728	1627	604
729	1629	602
730	1631	600
731	1633	598
732	1635	595
733	1637	593
734	1643	592
735	1645	590
736	1647	588
737	1649	585
738	1650	582
739	1651	580
740	1652	577
741	1656	576
742	1659	573
743	1660	571
744	1661	568
745	1663	566
746	1664	563
747	1665	561
748	1667	558
749	1668	556
750	1671	554
751	1673	551
752	1675	549
753	1676	547
754	1678	544
755	1679	542
756	1681	539
757	1683	537
758	1686	535
759	1688	533
760	1689	530
761	1690	528
762	1692	525
763	1693	523
764	1694	520
765	1695	518
766	1696	515
767	1700	513
768	1702	511
769	1703	508
770	1705	506
771	1706	504
772	1707	501
773	1708	498
774	1709	496
775	1711	493
776	1712	491
777	1714	489
778	1717	487
779	1718	484
780	1720	482
781	1721	479
782	1722	477
783	1723	474
784	1725	472
785	1726	469
786	1727	467
787	1729	465
788	1731	463
789	1733	460
790	1734	458
791	1736	455
792	1737	453
793	1738	451
794	1739	448
795	1740	446
796	1742	443
797	1743	441
798	1745	439
799	1747	436
800	1748	434
801	1750	432
802	1751	429
803	1752	427
804	1753	424
805	1754	422
806	1756	419
807	1757	417
808	1759	415
809	1761	413
810	1762	410
811	1763	408
812	1765	406
813	1766	403
814	1767	401
815	1768	398
816	1769	396
817	1770	394
818	1775	392
819	1778	390
820	1780	388
821	1781	385
822	1782	383
823	1784	381
824	1786	378
825	1789	376
826	1792	374
827	1793	372
828	1794	370
829	1796	367
830	1797	365
831	1798	363
832	1800	360
833	1801	358
834	1802	356
835	1805	354
836	1807	352
837	1808	349
838	1810	347
839	1811	345
840	1812	342
841	1813	340
842	1815	338
843	1816	335
844	1818	333
845	1820	331
846	1822	329
847	1823	326
848	1824	324
849	1825	322
850	1827	319
851	1828	317
852	1829	315
853	1830	312
854	1831	310
855	1835	308
856	1837	306
857	1839	304
858	1840	302
859	1841	299
860	1842	297
861	1843	295
862	1844	292
863	1846	290
864	1847	288
865	1850	286
